Date;"Art. 5 (1) a) - e), (2)";"Art. 5 (1) f)";"Art. 6";Art. 12;Art. 13;Art. 15;Art. 32
Q2.18;0;0;0;0;0;0;0
Q3.18;1;1;1;0;0;0;1
Q4.18;2;0;2;1;3;2;1
Q1.19;12;1;9;0;4;3;4
Q2.19;12;0;9;2;2;3;7
Q3.19;9;0;11;1;3;2;6
Q4.19;23;2;29;4;8;3;18
Q1.20;40;16;40;1;5;4;20
Q2.20;23;1;24;2;5;5;7
Q3.20;60;3;42;13;10;8;16
Q4.20;52;20;38;12;20;6;25
Q1.21;53;17;44;8;15;5;29
Q2.21;68;13;25;13;40;4;34
Q3.21;28;7;33;11;24;5;19
